doc_id,gold_label,llm_verdict,llm_pred,llm_confidence,llm_score,llm_cwe_raw,logreg_proba,logreg_pred,union_pred,union_source,intersection_pred
40201,0,secure,0,1.0,0.0,,0.21307220030299678,0,0,neither,0
9005,0,secure,0,1.0,0.0,,0.03727226599718382,0,0,neither,0
169289,0,secure,0,1.0,0.0,,0.08826667935794431,0,0,neither,0
24630,0,secure,0,1.0,0.0,,0.09601264178987896,0,0,neither,0
49928,0,secure,0,1.0,0.0,,0.06977612666761046,0,0,neither,0
148687,0,secure,0,1.0,0.0,,0.10893396396824584,0,0,neither,0
66318,1,secure,0,1.0,0.0,,0.21189363852005785,0,0,neither,0
181360,1,secure,0,1.0,0.0,,0.20831664900609345,0,0,neither,0
72005,0,secure,0,1.0,0.0,,0.30596135157273613,0,0,neither,0
47724,0,secure,0,1.0,0.0,,0.03363482223417214,0,0,neither,0
182006,1,secure,0,1.0,0.0,,0.18755084468226135,0,0,neither,0
163873,0,secure,0,1.0,0.0,,0.08528414198053992,0,0,neither,0
134178,0,secure,0,1.0,0.0,,0.07555219247297455,0,0,neither,0
179999,1,secure,0,1.0,0.0,,0.5264132417676611,1,1,logreg_only,0
10628,0,secure,0,1.0,0.0,,0.0731165048029995,0,0,neither,0
155664,0,secure,0,1.0,0.0,,0.054441259015441015,0,0,neither,0
63286,0,uncertain,0,0.7,0.5,,0.13458321189587918,0,0,neither,0
180668,1,secure,0,1.0,0.0,,0.08672039095863815,0,0,neither,0
52015,0,secure,0,1.0,0.0,,0.23984519770027035,0,0,neither,0
29969,1,secure,0,1.0,0.0,,0.883804546239078,1,1,logreg_only,0
183051,1,secure,0,1.0,0.0,,0.18299775296423954,0,0,neither,0
165881,0,secure,0,1.0,0.0,,0.07406821752652126,0,0,neither,0
110340,0,secure,0,1.0,0.0,,0.08764786054423834,0,0,neither,0
76444,0,secure,0,1.0,0.0,,0.07585936538395577,0,0,neither,0
179612,1,vulnerable,1,0.4,0.4,CWE-789,0.22366961363349544,0,1,llm_only,0
182060,1,secure,0,1.0,0.0,,0.17396840144934353,0,0,neither,0
1373,0,secure,0,1.0,0.0,,0.12877677468389687,0,0,neither,0
38776,0,secure,0,1.0,0.0,,0.38444619980708966,0,0,neither,0
26953,0,secure,0,1.0,0.0,,0.3696700715509336,0,0,neither,0
133548,0,secure,0,1.0,0.0,,0.04837954912053445,0,0,neither,0
104395,0,secure,0,1.0,0.0,,0.05357787964427497,0,0,neither,0
91124,0,secure,0,1.0,0.0,,0.09471181535084333,0,0,neither,0
185326,1,secure,0,1.0,0.0,,0.24864677274383376,0,0,neither,0
84824,0,secure,0,1.0,0.0,,0.06672359117352356,0,0,neither,0
159030,0,secure,0,1.0,0.0,,0.2551930761050101,0,0,neither,0
100303,0,secure,0,1.0,0.0,,0.21390622025805572,0,0,neither,0
185419,1,secure,0,1.0,0.0,,0.22431052718764605,0,0,neither,0
178922,1,vulnerable,1,0.9,0.9,CWE-190,0.1187811048616414,0,1,llm_only,0
182410,1,secure,0,1.0,0.0,,0.4022785271246713,0,0,neither,0
182881,1,vulnerable,1,0.9,0.9,CWE-119,0.3432131510847035,0,1,llm_only,0
180123,1,secure,0,1.0,0.0,,0.6273753979564368,1,1,logreg_only,0
181051,1,vulnerable,1,0.7,0.7,CWE-119,0.6842988250217015,1,1,both,1
41532,0,secure,0,1.0,0.0,,0.11282733337397632,0,0,neither,0
165575,0,secure,0,1.0,0.0,,0.05780973121029149,0,0,neither,0
173859,0,vulnerable,1,0.4,0.4,CWE-680,0.2922865428612756,0,1,llm_only,0
157783,0,secure,0,1.0,0.0,,0.020719383070147836,0,0,neither,0
26648,0,secure,0,1.0,0.0,,0.0750943889031529,0,0,neither,0
178183,1,secure,0,1.0,0.0,,0.11069407501258378,0,0,neither,0
22304,0,secure,0,1.0,0.0,,0.21902885177256037,0,0,neither,0
8467,0,secure,0,1.0,0.0,,0.1236187238605735,0,0,neither,0
38251,0,secure,0,1.0,0.0,,0.14828745942608182,0,0,neither,0
8680,0,vulnerable,1,0.4,0.4,CWE-119,0.6087549868856308,1,1,both,1
143602,0,secure,0,1.0,0.0,,0.11134916917789084,0,0,neither,0
181397,1,secure,0,1.0,0.0,,0.17936086580100252,0,0,neither,0
185976,1,secure,0,1.0,0.0,,0.6467496937528973,1,1,logreg_only,0
48117,0,secure,0,1.0,0.0,,0.3417640598600855,0,0,neither,0
181433,1,uncertain,0,0.0,0.5,,0.5121675976964771,1,1,logreg_only,0
138774,0,secure,0,1.0,0.0,,0.1962179272956097,0,0,neither,0
174050,0,secure,0,1.0,0.0,,0.09559852004413542,0,0,neither,0
174242,0,secure,0,1.0,0.0,,0.23647699143648554,0,0,neither,0
180825,1,secure,0,1.0,0.0,,0.5515279926084161,1,1,logreg_only,0
151244,0,secure,0,1.0,0.0,,0.06041060046750743,0,0,neither,0
1982,0,vulnerable,1,0.4,0.4,CWE-416,0.12733890949713475,0,1,llm_only,0
102376,0,secure,0,1.0,0.0,,0.1706121696403508,0,0,neither,0
53312,1,secure,0,1.0,0.0,,0.6511554148223989,1,1,logreg_only,0
39298,0,secure,0,1.0,0.0,,0.022459617615420296,0,0,neither,0
183260,1,secure,0,1.0,0.0,,0.2501194879953058,0,0,neither,0
52644,0,secure,0,1.0,0.0,,0.07603857892994345,0,0,neither,0
87,0,uncertain,0,0.0,0.5,,0.08166940560129798,0,0,neither,0
180059,1,vulnerable,1,0.4,0.4,CWE-125,0.20130493079348702,0,1,llm_only,0
179607,1,secure,0,1.0,0.0,,0.6055613278860429,1,1,logreg_only,0
7475,0,secure,0,1.0,0.0,,0.35054134892792077,0,0,neither,0
178070,1,secure,0,1.0,0.0,,0.3777590802654652,0,0,neither,0
75842,0,vulnerable,1,0.4,0.4,CWE-120,0.19473088177715742,0,1,llm_only,0
69939,0,secure,0,1.0,0.0,,0.26536844917437097,0,0,neither,0
17362,0,secure,0,1.0,0.0,,0.3144832798968593,0,0,neither,0
185238,1,secure,0,1.0,0.0,,0.1826617348406565,0,0,neither,0
68119,0,secure,0,1.0,0.0,,0.1637755830694977,0,0,neither,0
126053,0,secure,0,1.0,0.0,,0.1545123620237885,0,0,neither,0
2795,0,secure,0,1.0,0.0,,0.4178452149663322,0,0,neither,0
20974,0,secure,0,1.0,0.0,,0.3123400186350514,0,0,neither,0
178755,1,secure,0,1.0,0.0,,0.6924676425927114,1,1,logreg_only,0
109013,0,secure,0,1.0,0.0,,0.04265577975443685,0,0,neither,0
155891,0,secure,0,1.0,0.0,,0.4637011151799203,0,0,neither,0
182627,1,secure,0,1.0,0.0,,0.19493021367934268,0,0,neither,0
82741,0,secure,0,1.0,0.0,,0.1522053681050427,0,0,neither,0
178602,1,vulnerable,1,0.4,0.4,CWE-134,0.20328850398253723,0,1,llm_only,0
89729,0,secure,0,1.0,0.0,,0.0878781405695696,0,0,neither,0
89548,0,secure,0,1.0,0.0,,0.47348004520463854,0,0,neither,0
99095,0,secure,0,1.0,0.0,,0.2197799982797796,0,0,neither,0
74458,0,secure,0,1.0,0.0,,0.09675165377937824,0,0,neither,0
180577,1,vulnerable,1,0.4,0.4,CWE-680,0.4452674011476431,0,1,llm_only,0
18612,0,secure,0,1.0,0.0,,0.18124681718086533,0,0,neither,0
40647,0,secure,0,1.0,0.0,,0.3025835460903174,0,0,neither,0
90352,0,secure,0,1.0,0.0,,0.5120078042004336,1,1,logreg_only,0
177803,1,secure,0,1.0,0.0,,0.1856334549490984,0,0,neither,0
148566,0,secure,0,1.0,0.0,,0.028443838695900062,0,0,neither,0
185114,1,secure,0,1.0,0.0,,0.01244297497953906,0,0,neither,0
71774,0,secure,0,1.0,0.0,,0.31287334422529034,0,0,neither,0
185125,1,secure,0,1.0,0.0,,0.5632220977576646,1,1,logreg_only,0
79696,0,secure,0,1.0,0.0,,0.040887762489814045,0,0,neither,0
80100,0,vulnerable,1,0.4,0.4,CWE-787,0.07061787137551212,0,1,llm_only,0
178879,1,secure,0,1.0,0.0,,0.1830871492467038,0,0,neither,0
81788,0,secure,0,1.0,0.0,,0.2653142824528802,0,0,neither,0
109073,0,secure,0,1.0,0.0,,0.05998365367704307,0,0,neither,0
168751,0,secure,0,1.0,0.0,,0.11557945867717613,0,0,neither,0
133704,0,secure,0,1.0,0.0,,0.20534647770537678,0,0,neither,0
136258,0,secure,0,1.0,0.0,,0.10285879202263738,0,0,neither,0
92981,0,secure,0,1.0,0.0,,0.19346435727706413,0,0,neither,0
143229,0,secure,0,1.0,0.0,,0.02444884329816385,0,0,neither,0
38002,0,secure,0,1.0,0.0,,0.18657525730272964,0,0,neither,0
67566,0,secure,0,1.0,0.0,,0.553506965039316,1,1,logreg_only,0
186120,1,secure,0,1.0,0.0,,0.09111159692550654,0,0,neither,0
181881,1,secure,0,1.0,0.0,,0.8354195179366025,1,1,logreg_only,0
30180,0,secure,0,1.0,0.0,,0.012449580029625899,0,0,neither,0
76878,0,secure,0,1.0,0.0,,0.06908356724288607,0,0,neither,0
158156,0,secure,0,1.0,0.0,,0.017748348074212827,0,0,neither,0
81444,0,secure,0,1.0,0.0,,0.26243483905935766,0,0,neither,0
183907,1,secure,0,1.0,0.0,,0.20806286693284798,0,0,neither,0
178356,1,secure,0,1.0,0.0,,0.11316984574808531,0,0,neither,0
187608,1,vulnerable,1,0.4,0.4,CWE-119,0.8731888866820947,1,1,both,1
